Year,Garnizon,Age,Suicides
1999,KWP Kraków,0-6,1
1999,KWP Opole,0-6,0
1999,KWP Katowice,0-6,0
1999,KWP Poznań,0-6,2
1999,KSP Warszawa,0-6,0
1999,Polska,0-6,10
2000,KWP Kraków,0-6,0
2000,KWP Opole,0-6,1
2000,KWP Katowice,0-6,1
2000,KWP Poznań,0-6,1
2000,KSP Warszawa,0-6,0
2000,Polska,0-6,6
2001,KWP Kraków,0-6,0
2001,KWP Opole,0-6,0
2001,KWP Katowice,0-6,0
2001,KWP Poznań,0-6,2
2001,KSP Warszawa,0-6,2
2001,Polska,0-6,10
2002,KWP Kraków,0-6,0
2002,KWP Opole,0-6,0
2002,KWP Katowice,0-6,0
2002,KWP Poznań,0-6,0
2002,KSP Warszawa,0-6,0
2002,Polska,0-6,2
2003,KWP Kraków,0-6,0
2003,KWP Opole,0-6,0
2003,KWP Katowice,0-6,0
2003,KWP Poznań,0-6,0
2003,KSP Warszawa,0-6,0
2003,Polska,0-6,0
2004,KWP Kraków,0-6,0
2004,KWP Opole,0-6,0
2004,KWP Katowice,0-6,0
2004,KWP Poznań,0-6,0
2004,KSP Warszawa,0-6,0
2004,Polska,0-6,0
2005,KWP Kraków,0-6,0
2005,KWP Opole,0-6,0
2005,KWP Katowice,0-6,0
2005,KWP Poznań,0-6,0
2005,KSP Warszawa,0-6,0
2005,Polska,0-6,1
2006,KWP Kraków,0-6,0
2006,KWP Opole,0-6,0
2006,KWP Katowice,0-6,0
2006,KWP Poznań,0-6,0
2006,KSP Warszawa,0-6,0
2006,Polska,0-6,1
2007,KWP Kraków,0-6,0
2007,KWP Opole,0-6,0
2007,KWP Katowice,0-6,0
2007,KWP Poznań,0-6,0
2007,KSP Warszawa,0-6,0
2007,Polska,0-6,0
2008,KWP Kraków,0-6,0
2008,KWP Opole,0-6,0
2008,KWP Katowice,0-6,0
2008,KWP Poznań,0-6,0
2008,KSP Warszawa,0-6,0
2008,Polska,0-6,0
2009,KWP Kraków,0-6,0
2009,KWP Opole,0-6,0
2009,KWP Katowice,0-6,0
2009,KWP Poznań,0-6,0
2009,KSP Warszawa,0-6,0
2009,Polska,0-6,0
2010,KWP Kraków,0-6,0
2010,KWP Opole,0-6,0
2010,KWP Katowice,0-6,0
2010,KWP Poznań,0-6,0
2010,KSP Warszawa,0-6,0
2010,Polska,0-6,0
2011,KWP Kraków,0-6,0
2011,KWP Opole,0-6,0
2011,KWP Katowice,0-6,0
2011,KWP Poznań,0-6,0
2011,KSP Warszawa,0-6,0
2011,Polska,0-6,0
2012,KWP Kraków,0-6,0
2012,KWP Opole,0-6,0
2012,KWP Katowice,0-6,0
2012,KWP Poznań,0-6,0
2012,KSP Warszawa,0-6,0
2012,Polska,0-6,0
1999,KWP Kraków,7-12,0
1999,KWP Opole,7-12,1
1999,KWP Katowice,7-12,2
1999,KWP Poznań,7-12,2
1999,KSP Warszawa,7-12,0
1999,Polska,7-12,14
2000,KWP Kraków,7-12,1
2000,KWP Opole,7-12,0
2000,KWP Katowice,7-12,0
2000,KWP Poznań,7-12,3
2000,KSP Warszawa,7-12,1
2000,Polska,7-12,18
2001,KWP Kraków,7-12,2
2001,KWP Opole,7-12,0
2001,KWP Katowice,7-12,0
2001,KWP Poznań,7-12,0
2001,KSP Warszawa,7-12,0
2001,Polska,7-12,19
2002,KWP Kraków,7-12,0
2002,KWP Opole,7-12,0
2002,KWP Katowice,7-12,0
2002,KWP Poznań,7-12,2
2002,KSP Warszawa,7-12,0
2002,Polska,7-12,10
2003,KWP Kraków,7-12,1
2003,KWP Opole,7-12,0
2003,KWP Katowice,7-12,2
2003,KWP Poznań,7-12,0
2003,KSP Warszawa,7-12,1
2003,Polska,7-12,13
2004,KWP Kraków,7-12,1
2004,KWP Opole,7-12,0
2004,KWP Katowice,7-12,3
2004,KWP Poznań,7-12,1
2004,KSP Warszawa,7-12,0
2004,Polska,7-12,12
2005,KWP Kraków,7-12,2
2005,KWP Opole,7-12,1
2005,KWP Katowice,7-12,2
2005,KWP Poznań,7-12,2
2005,KSP Warszawa,7-12,1
2005,Polska,7-12,14
2006,KWP Kraków,7-12,0
2006,KWP Opole,7-12,2
2006,KWP Katowice,7-12,1
2006,KWP Poznań,7-12,2
2006,KSP Warszawa,7-12,0
2006,Polska,7-12,9
2007,KWP Kraków,7-12,1
2007,KWP Opole,7-12,1
2007,KWP Katowice,7-12,1
2007,KWP Poznań,7-12,1
2007,KSP Warszawa,7-12,0
2007,Polska,7-12,15
2008,KWP Kraków,7-12,0
2008,KWP Opole,7-12,0
2008,KWP Katowice,7-12,1
2008,KWP Poznań,7-12,2
2008,KSP Warszawa,7-12,1
2008,Polska,7-12,9
2009,KWP Kraków,7-12,0
2009,KWP Opole,7-12,0
2009,KWP Katowice,7-12,0
2009,KWP Poznań,7-12,0
2009,KSP Warszawa,7-12,2
2009,Polska,7-12,5
2010,KWP Kraków,7-12,1
2010,KWP Opole,7-12,0
2010,KWP Katowice,7-12,0
2010,KWP Poznań,7-12,1
2010,KSP Warszawa,7-12,0
2010,Polska,7-12,6
2011,KWP Kraków,7-12,0
2011,KWP Opole,7-12,0
2011,KWP Katowice,7-12,0
2011,KWP Poznań,7-12,1
2011,KSP Warszawa,7-12,1
2011,Polska,7-12,5
2012,KWP Kraków,7-12,1
2012,KWP Opole,7-12,1
2012,KWP Katowice,7-12,2
2012,KWP Poznań,7-12,0
2012,KSP Warszawa,7-12,0
2012,Polska,7-12,5
1999,KWP Kraków,13-18,12
1999,KWP Opole,13-18,13
1999,KWP Katowice,13-18,36
1999,KWP Poznań,13-18,45
1999,KSP Warszawa,13-18,9
1999,Polska,13-18,318
2000,KWP Kraków,13-18,30
2000,KWP Opole,13-18,15
2000,KWP Katowice,13-18,33
2000,KWP Poznań,13-18,24
2000,KSP Warszawa,13-18,4
2000,Polska,13-18,330
2001,KWP Kraków,13-18,23
2001,KWP Opole,13-18,8
2001,KWP Katowice,13-18,33
2001,KWP Poznań,13-18,37
2001,KSP Warszawa,13-18,4
2001,Polska,13-18,337
2002,KWP Kraków,13-18,32
2002,KWP Opole,13-18,14
2002,KWP Katowice,13-18,36
2002,KWP Poznań,13-18,40
2002,KSP Warszawa,13-18,4
2002,Polska,13-18,320
2003,KWP Kraków,13-18,20
2003,KWP Opole,13-18,10
2003,KWP Katowice,13-18,46
2003,KWP Poznań,13-18,28
2003,KSP Warszawa,13-18,6
2003,Polska,13-18,287
2004,KWP Kraków,13-18,27
2004,KWP Opole,13-18,14
2004,KWP Katowice,13-18,31
2004,KWP Poznań,13-18,27
2004,KSP Warszawa,13-18,13
2004,Polska,13-18,318
2005,KWP Kraków,13-18,24
2005,KWP Opole,13-18,12
2005,KWP Katowice,13-18,33
2005,KWP Poznań,13-18,18
2005,KSP Warszawa,13-18,9
2005,Polska,13-18,294
2006,KWP Kraków,13-18,24
2006,KWP Opole,13-18,13
2006,KWP Katowice,13-18,33
2006,KWP Poznań,13-18,20
2006,KSP Warszawa,13-18,8
2006,Polska,13-18,297
2007,KWP Kraków,13-18,20
2007,KWP Opole,13-18,8
2007,KWP Katowice,13-18,31
2007,KWP Poznań,13-18,17
2007,KSP Warszawa,13-18,4
2007,Polska,13-18,289
2008,KWP Kraków,13-18,20
2008,KWP Opole,13-18,12
2008,KWP Katowice,13-18,30
2008,KWP Poznań,13-18,22
2008,KSP Warszawa,13-18,3
2008,Polska,13-18,321
2009,KWP Kraków,13-18,17
2009,KWP Opole,13-18,13
2009,KWP Katowice,13-18,39
2009,KWP Poznań,13-18,20
2009,KSP Warszawa,13-18,14
2009,Polska,13-18,313
2010,KWP Kraków,13-18,19
2010,KWP Opole,13-18,21
2010,KWP Katowice,13-18,25
2010,KWP Poznań,13-18,10
2010,KSP Warszawa,13-18,8
2010,Polska,13-18,267
2011,KWP Kraków,13-18,13
2011,KWP Opole,13-18,7
2011,KWP Katowice,13-18,35
2011,KWP Poznań,13-18,16
2011,KSP Warszawa,13-18,5
2011,Polska,13-18,243
2012,KWP Kraków,13-18,18
2012,KWP Opole,13-18,13
2012,KWP Katowice,13-18,34
2012,KWP Poznań,13-18,9
2012,KSP Warszawa,13-18,22
2012,Polska,13-18,286
1999,KWP Kraków,19-24,41
1999,KWP Opole,19-24,15
1999,KWP Katowice,19-24,47
1999,KWP Poznań,19-24,60
1999,KSP Warszawa,19-24,15
1999,Polska,19-24,520
2000,KWP Kraków,19-24,50
2000,KWP Opole,19-24,23
2000,KWP Katowice,19-24,72
2000,KWP Poznań,19-24,51
2000,KSP Warszawa,19-24,10
2000,Polska,19-24,588
2001,KWP Kraków,19-24,48
2001,KWP Opole,19-24,13
2001,KWP Katowice,19-24,55
2001,KWP Poznań,19-24,58
2001,KSP Warszawa,19-24,6
2001,Polska,19-24,567
2002,KWP Kraków,19-24,58
2002,KWP Opole,19-24,15
2002,KWP Katowice,19-24,70
2002,KWP Poznań,19-24,69
2002,KSP Warszawa,19-24,13
2002,Polska,19-24,629
2003,KWP Kraków,19-24,35
2003,KWP Opole,19-24,20
2003,KWP Katowice,19-24,75
2003,KWP Poznań,19-24,51
2003,KSP Warszawa,19-24,20
2003,Polska,19-24,571
2004,KWP Kraków,19-24,48
2004,KWP Opole,19-24,13
2004,KWP Katowice,19-24,64
2004,KWP Poznań,19-24,63
2004,KSP Warszawa,19-24,29
2004,Polska,19-24,643
2005,KWP Kraków,19-24,41
2005,KWP Opole,19-24,22
2005,KWP Katowice,19-24,73
2005,KWP Poznań,19-24,57
2005,KSP Warszawa,19-24,23
2005,Polska,19-24,597
2006,KWP Kraków,19-24,36
2006,KWP Opole,19-24,30
2006,KWP Katowice,19-24,81
2006,KWP Poznań,19-24,38
2006,KSP Warszawa,19-24,26
2006,Polska,19-24,577
2007,KWP Kraków,19-24,35
2007,KWP Opole,19-24,31
2007,KWP Katowice,19-24,57
2007,KWP Poznań,19-24,29
2007,KSP Warszawa,19-24,22
2007,Polska,19-24,545
2008,KWP Kraków,19-24,29
2008,KWP Opole,19-24,20
2008,KWP Katowice,19-24,66
2008,KWP Poznań,19-24,25
2008,KSP Warszawa,19-24,22
2008,Polska,19-24,562
2009,KWP Kraków,19-24,38
2009,KWP Opole,19-24,16
2009,KWP Katowice,19-24,81
2009,KWP Poznań,19-24,43
2009,KSP Warszawa,19-24,19
2009,Polska,19-24,625
2010,KWP Kraków,19-24,38
2010,KWP Opole,19-24,28
2010,KWP Katowice,19-24,78
2010,KWP Poznań,19-24,38
2010,KSP Warszawa,19-24,23
2010,Polska,19-24,555
2011,KWP Kraków,19-24,41
2011,KWP Opole,19-24,26
2011,KWP Katowice,19-24,64
2011,KWP Poznań,19-24,31
2011,KSP Warszawa,19-24,26
2011,Polska,19-24,528
2012,KWP Kraków,19-24,57
2012,KWP Opole,19-24,11
2012,KWP Katowice,19-24,70
2012,KWP Poznań,19-24,27
2012,KSP Warszawa,19-24,36
2012,Polska,19-24,607
1999,KWP Kraków,25-29,19
1999,KWP Opole,25-29,7
1999,KWP Katowice,25-29,30
1999,KWP Poznań,25-29,53
1999,KSP Warszawa,25-29,10
1999,Polska,25-29,351
2000,KWP Kraków,25-29,42
2000,KWP Opole,25-29,12
2000,KWP Katowice,25-29,36
2000,KWP Poznań,25-29,50
2000,KSP Warszawa,25-29,6
2000,Polska,25-29,390
2001,KWP Kraków,25-29,41
2001,KWP Opole,25-29,11
2001,KWP Katowice,25-29,42
2001,KWP Poznań,25-29,40
2001,KSP Warszawa,25-29,4
2001,Polska,25-29,426
2002,KWP Kraków,25-29,37
2002,KWP Opole,25-29,10
2002,KWP Katowice,25-29,54
2002,KWP Poznań,25-29,42
2002,KSP Warszawa,25-29,8
2002,Polska,25-29,460
2003,KWP Kraków,25-29,37
2003,KWP Opole,25-29,12
2003,KWP Katowice,25-29,59
2003,KWP Poznań,25-29,39
2003,KSP Warszawa,25-29,18
2003,Polska,25-29,437
2004,KWP Kraków,25-29,33
2004,KWP Opole,25-29,17
2004,KWP Katowice,25-29,66
2004,KWP Poznań,25-29,34
2004,KSP Warszawa,25-29,25
2004,Polska,25-29,492
2005,KWP Kraków,25-29,39
2005,KWP Opole,25-29,19
2005,KWP Katowice,25-29,75
2005,KWP Poznań,25-29,39
2005,KSP Warszawa,25-29,22
2005,Polska,25-29,496
2006,KWP Kraków,25-29,43
2006,KWP Opole,25-29,18
2006,KWP Katowice,25-29,54
2006,KWP Poznań,25-29,28
2006,KSP Warszawa,25-29,15
2006,Polska,25-29,428
2007,KWP Kraków,25-29,35
2007,KWP Opole,25-29,12
2007,KWP Katowice,25-29,50
2007,KWP Poznań,25-29,36
2007,KSP Warszawa,25-29,13
2007,Polska,25-29,414
2008,KWP Kraków,25-29,35
2008,KWP Opole,25-29,15
2008,KWP Katowice,25-29,63
2008,KWP Poznań,25-29,29
2008,KSP Warszawa,25-29,22
2008,Polska,25-29,495
2009,KWP Kraków,25-29,46
2009,KWP Opole,25-29,12
2009,KWP Katowice,25-29,52
2009,KWP Poznań,25-29,21
2009,KSP Warszawa,25-29,21
2009,Polska,25-29,493
2010,KWP Kraków,25-29,47
2010,KWP Opole,25-29,24
2010,KWP Katowice,25-29,60
2010,KWP Poznań,25-29,26
2010,KSP Warszawa,25-29,24
2010,Polska,25-29,493
2011,KWP Kraków,25-29,39
2011,KWP Opole,25-29,10
2011,KWP Katowice,25-29,79
2011,KWP Poznań,25-29,25
2011,KSP Warszawa,25-29,14
2011,Polska,25-29,461
2012,KWP Kraków,25-29,40
2012,KWP Opole,25-29,21
2012,KWP Katowice,25-29,59
2012,KWP Poznań,25-29,20
2012,KSP Warszawa,25-29,36
2012,Polska,25-29,562
1999,KWP Kraków,30-34,22
1999,KWP Opole,30-34,13
1999,KWP Katowice,30-34,46
1999,KWP Poznań,30-34,48
1999,KSP Warszawa,30-34,7
1999,Polska,30-34,369
2000,KWP Kraków,30-34,45
2000,KWP Opole,30-34,13
2000,KWP Katowice,30-34,48
2000,KWP Poznań,30-34,48
2000,KSP Warszawa,30-34,6
2000,Polska,30-34,406
2001,KWP Kraków,30-34,43
2001,KWP Opole,30-34,12
2001,KWP Katowice,30-34,30
2001,KWP Poznań,30-34,44
2001,KSP Warszawa,30-34,10
2001,Polska,30-34,410
2002,KWP Kraków,30-34,44
2002,KWP Opole,30-34,8
2002,KWP Katowice,30-34,32
2002,KWP Poznań,30-34,42
2002,KSP Warszawa,30-34,14
2002,Polska,30-34,400
2003,KWP Kraków,30-34,32
2003,KWP Opole,30-34,11
2003,KWP Katowice,30-34,42
2003,KWP Poznań,30-34,26
2003,KSP Warszawa,30-34,12
2003,Polska,30-34,390
2004,KWP Kraków,30-34,38
2004,KWP Opole,30-34,12
2004,KWP Katowice,30-34,47
2004,KWP Poznań,30-34,26
2004,KSP Warszawa,30-34,32
2004,Polska,30-34,432
2005,KWP Kraków,30-34,34
2005,KWP Opole,30-34,10
2005,KWP Katowice,30-34,51
2005,KWP Poznań,30-34,50
2005,KSP Warszawa,30-34,28
2005,Polska,30-34,448
2006,KWP Kraków,30-34,28
2006,KWP Opole,30-34,17
2006,KWP Katowice,30-34,51
2006,KWP Poznań,30-34,19
2006,KSP Warszawa,30-34,16
2006,Polska,30-34,396
2007,KWP Kraków,30-34,23
2007,KWP Opole,30-34,11
2007,KWP Katowice,30-34,45
2007,KWP Poznań,30-34,35
2007,KSP Warszawa,30-34,16
2007,Polska,30-34,359
2008,KWP Kraków,30-34,33
2008,KWP Opole,30-34,18
2008,KWP Katowice,30-34,37
2008,KWP Poznań,30-34,38
2008,KSP Warszawa,30-34,14
2008,Polska,30-34,421
2009,KWP Kraków,30-34,35
2009,KWP Opole,30-34,20
2009,KWP Katowice,30-34,59
2009,KWP Poznań,30-34,38
2009,KSP Warszawa,30-34,21
2009,Polska,30-34,462
2010,KWP Kraków,30-34,44
2010,KWP Opole,30-34,16
2010,KWP Katowice,30-34,61
2010,KWP Poznań,30-34,39
2010,KSP Warszawa,30-34,22
2010,Polska,30-34,472
2011,KWP Kraków,30-34,39
2011,KWP Opole,30-34,14
2011,KWP Katowice,30-34,74
2011,KWP Poznań,30-34,25
2011,KSP Warszawa,30-34,17
2011,Polska,30-34,465
2012,KWP Kraków,30-34,42
2012,KWP Opole,30-34,6
2012,KWP Katowice,30-34,60
2012,KWP Poznań,30-34,19
2012,KSP Warszawa,30-34,32
2012,Polska,30-34,525
1999,KWP Kraków,35-39,25
1999,KWP Opole,35-39,22
1999,KWP Katowice,35-39,55
1999,KWP Poznań,35-39,64
1999,KSP Warszawa,35-39,5
1999,Polska,35-39,506
2000,KWP Kraków,35-39,52
2000,KWP Opole,35-39,15
2000,KWP Katowice,35-39,54
2000,KWP Poznań,35-39,61
2000,KSP Warszawa,35-39,8
2000,Polska,35-39,509
2001,KWP Kraków,35-39,54
2001,KWP Opole,35-39,13
2001,KWP Katowice,35-39,44
2001,KWP Poznań,35-39,51
2001,KSP Warszawa,35-39,5
2001,Polska,35-39,479
2002,KWP Kraków,35-39,41
2002,KWP Opole,35-39,11
2002,KWP Katowice,35-39,54
2002,KWP Poznań,35-39,48
2002,KSP Warszawa,35-39,9
2002,Polska,35-39,485
2003,KWP Kraków,35-39,29
2003,KWP Opole,35-39,14
2003,KWP Katowice,35-39,63
2003,KWP Poznań,35-39,53
2003,KSP Warszawa,35-39,13
2003,Polska,35-39,446
2004,KWP Kraków,35-39,46
2004,KWP Opole,35-39,10
2004,KWP Katowice,35-39,56
2004,KWP Poznań,35-39,32
2004,KSP Warszawa,35-39,18
2004,Polska,35-39,454
2005,KWP Kraków,35-39,33
2005,KWP Opole,35-39,10
2005,KWP Katowice,35-39,42
2005,KWP Poznań,35-39,45
2005,KSP Warszawa,35-39,17
2005,Polska,35-39,421
2006,KWP Kraków,35-39,27
2006,KWP Opole,35-39,9
2006,KWP Katowice,35-39,57
2006,KWP Poznań,35-39,38
2006,KSP Warszawa,35-39,12
2006,Polska,35-39,401
2007,KWP Kraków,35-39,23
2007,KWP Opole,35-39,11
2007,KWP Katowice,35-39,46
2007,KWP Poznań,35-39,27
2007,KSP Warszawa,35-39,17
2007,Polska,35-39,372
2008,KWP Kraków,35-39,30
2008,KWP Opole,35-39,15
2008,KWP Katowice,35-39,40
2008,KWP Poznań,35-39,25
2008,KSP Warszawa,35-39,20
2008,Polska,35-39,375
2009,KWP Kraków,35-39,46
2009,KWP Opole,35-39,23
2009,KWP Katowice,35-39,62
2009,KWP Poznań,35-39,44
2009,KSP Warszawa,35-39,18
2009,Polska,35-39,543
2010,KWP Kraków,35-39,28
2010,KWP Opole,35-39,13
2010,KWP Katowice,35-39,80
2010,KWP Poznań,35-39,32
2010,KSP Warszawa,35-39,19
2010,Polska,35-39,453
2011,KWP Kraków,35-39,36
2011,KWP Opole,35-39,16
2011,KWP Katowice,35-39,85
2011,KWP Poznań,35-39,27
2011,KSP Warszawa,35-39,19
2011,Polska,35-39,479
2012,KWP Kraków,35-39,32
2012,KWP Opole,35-39,11
2012,KWP Katowice,35-39,45
2012,KWP Poznań,35-39,25
2012,KSP Warszawa,35-39,36
2012,Polska,35-39,459
1999,KWP Kraków,40-44,40
1999,KWP Opole,40-44,23
1999,KWP Katowice,40-44,67
1999,KWP Poznań,40-44,85
1999,KSP Warszawa,40-44,14
1999,Polska,40-44,696
2000,KWP Kraków,40-44,67
2000,KWP Opole,40-44,18
2000,KWP Katowice,40-44,71
2000,KWP Poznań,40-44,87
2000,KSP Warszawa,40-44,18
2000,Polska,40-44,740
2001,KWP Kraków,40-44,74
2001,KWP Opole,40-44,14
2001,KWP Katowice,40-44,80
2001,KWP Poznań,40-44,88
2001,KSP Warszawa,40-44,17
2001,Polska,40-44,692
2002,KWP Kraków,40-44,75
2002,KWP Opole,40-44,16
2002,KWP Katowice,40-44,78
2002,KWP Poznań,40-44,83
2002,KSP Warszawa,40-44,18
2002,Polska,40-44,710
2003,KWP Kraków,40-44,54
2003,KWP Opole,40-44,17
2003,KWP Katowice,40-44,70
2003,KWP Poznań,40-44,65
2003,KSP Warszawa,40-44,28
2003,Polska,40-44,604
2004,KWP Kraków,40-44,56
2004,KWP Opole,40-44,19
2004,KWP Katowice,40-44,67
2004,KWP Poznań,40-44,60
2004,KSP Warszawa,40-44,26
2004,Polska,40-44,612
2005,KWP Kraków,40-44,48
2005,KWP Opole,40-44,6
2005,KWP Katowice,40-44,54
2005,KWP Poznań,40-44,51
2005,KSP Warszawa,40-44,20
2005,Polska,40-44,505
2006,KWP Kraków,40-44,30
2006,KWP Opole,40-44,15
2006,KWP Katowice,40-44,52
2006,KWP Poznań,40-44,39
2006,KSP Warszawa,40-44,12
2006,Polska,40-44,460
2007,KWP Kraków,40-44,33
2007,KWP Opole,40-44,11
2007,KWP Katowice,40-44,47
2007,KWP Poznań,40-44,41
2007,KSP Warszawa,40-44,5
2007,Polska,40-44,399
2008,KWP Kraków,40-44,25
2008,KWP Opole,40-44,15
2008,KWP Katowice,40-44,55
2008,KWP Poznań,40-44,27
2008,KSP Warszawa,40-44,19
2008,Polska,40-44,436
2009,KWP Kraków,40-44,29
2009,KWP Opole,40-44,13
2009,KWP Katowice,40-44,70
2009,KWP Poznań,40-44,43
2009,KSP Warszawa,40-44,21
2009,Polska,40-44,462
2010,KWP Kraków,40-44,46
2010,KWP Opole,40-44,13
2010,KWP Katowice,40-44,65
2010,KWP Poznań,40-44,32
2010,KSP Warszawa,40-44,15
2010,Polska,40-44,454
2011,KWP Kraków,40-44,37
2011,KWP Opole,40-44,9
2011,KWP Katowice,40-44,53
2011,KWP Poznań,40-44,32
2011,KSP Warszawa,40-44,17
2011,Polska,40-44,415
2012,KWP Kraków,40-44,35
2012,KWP Opole,40-44,12
2012,KWP Katowice,40-44,44
2012,KWP Poznań,40-44,24
2012,KSP Warszawa,40-44,28
2012,Polska,40-44,455
1999,KWP Kraków,45-49,41
1999,KWP Opole,45-49,26
1999,KWP Katowice,45-49,71
1999,KWP Poznań,45-49,84
1999,KSP Warszawa,45-49,18
1999,Polska,45-49,719
2000,KWP Kraków,45-49,68
2000,KWP Opole,45-49,21
2000,KWP Katowice,45-49,78
2000,KWP Poznań,45-49,81
2000,KSP Warszawa,45-49,9
2000,Polska,45-49,741
2001,KWP Kraków,45-49,95
2001,KWP Opole,45-49,18
2001,KWP Katowice,45-49,81
2001,KWP Poznań,45-49,92
2001,KSP Warszawa,45-49,9
2001,Polska,45-49,788
2002,KWP Kraków,45-49,82
2002,KWP Opole,45-49,17
2002,KWP Katowice,45-49,70
2002,KWP Poznań,45-49,88
2002,KSP Warszawa,45-49,16
2002,Polska,45-49,766
2003,KWP Kraków,45-49,69
2003,KWP Opole,45-49,20
2003,KWP Katowice,45-49,85
2003,KWP Poznań,45-49,72
2003,KSP Warszawa,45-49,24
2003,Polska,45-49,745
2004,KWP Kraków,45-49,56
2004,KWP Opole,45-49,25
2004,KWP Katowice,45-49,76
2004,KWP Poznań,45-49,72
2004,KSP Warszawa,45-49,25
2004,Polska,45-49,752
2005,KWP Kraków,45-49,65
2005,KWP Opole,45-49,20
2005,KWP Katowice,45-49,78
2005,KWP Poznań,45-49,66
2005,KSP Warszawa,45-49,38
2005,Polska,45-49,733
2006,KWP Kraków,45-49,46
2006,KWP Opole,45-49,21
2006,KWP Katowice,45-49,64
2006,KWP Poznań,45-49,68
2006,KSP Warszawa,45-49,21
2006,Polska,45-49,637
2007,KWP Kraków,45-49,39
2007,KWP Opole,45-49,24
2007,KWP Katowice,45-49,44
2007,KWP Poznań,45-49,55
2007,KSP Warszawa,45-49,27
2007,Polska,45-49,528
2008,KWP Kraków,45-49,42
2008,KWP Opole,45-49,14
2008,KWP Katowice,45-49,51
2008,KWP Poznań,45-49,34
2008,KSP Warszawa,45-49,20
2008,Polska,45-49,556
2009,KWP Kraków,45-49,47
2009,KWP Opole,45-49,19
2009,KWP Katowice,45-49,77
2009,KWP Poznań,45-49,59
2009,KSP Warszawa,45-49,27
2009,Polska,45-49,653
2010,KWP Kraków,45-49,52
2010,KWP Opole,45-49,19
2010,KWP Katowice,45-49,68
2010,KWP Poznań,45-49,38
2010,KSP Warszawa,45-49,26
2010,Polska,45-49,520
2011,KWP Kraków,45-49,41
2011,KWP Opole,45-49,11
2011,KWP Katowice,45-49,72
2011,KWP Poznań,45-49,26
2011,KSP Warszawa,45-49,13
2011,Polska,45-49,451
