year,garnizon,outcome,total,percentage
1999,Białystok,Attempted,216,NA
1999,Białystok,Fatal,190,NA
1999,Bydgoszcz,Attempted,263,NA
1999,Bydgoszcz,Fatal,248,NA
1999,Gdańsk,Attempted,325,NA
1999,Gdańsk,Fatal,300,NA
1999,Gorzów Wlkp.,Attempted,194,NA
1999,Gorzów Wlkp.,Fatal,179,NA
1999,Katowice,Attempted,543,NA
1999,Katowice,Fatal,488,NA
1999,Kielce,Attempted,199,NA
1999,Kielce,Fatal,190,NA
1999,Kraków,Attempted,302,NA
1999,Kraków,Fatal,282,NA
1999,Lublin,Attempted,283,NA
1999,Lublin,Fatal,261,NA
1999,Łódź,Attempted,410,NA
1999,Łódź,Fatal,392,NA
1999,Olsztyn,Attempted,201,NA
1999,Olsztyn,Fatal,179,NA
1999,Opole,Attempted,189,NA
1999,Opole,Fatal,155,NA
1999,Poznań,Attempted,644,NA
1999,Poznań,Fatal,572,NA
1999,Radom,Attempted,403,NA
1999,Radom,Fatal,394,NA
1999,Rzeszów,Attempted,205,NA
1999,Rzeszów,Fatal,189,NA
1999,Szczecin,Attempted,313,NA
1999,Szczecin,Fatal,236,NA
1999,Warszawa,Attempted,114,NA
1999,Warszawa,Fatal,101,NA
1999,Wrocław,Attempted,378,NA
1999,Wrocław,Fatal,339,NA
2000,Białystok,Attempted,242,NA
2000,Białystok,Fatal,205,NA
2000,Bydgoszcz,Attempted,262,NA
2000,Bydgoszcz,Fatal,240,NA
2000,Gdańsk,Attempted,337,NA
2000,Gdańsk,Fatal,300,NA
2000,Gorzów Wlkp.,Attempted,178,NA
2000,Gorzów Wlkp.,Fatal,156,NA
2000,Katowice,Attempted,574,NA
2000,Katowice,Fatal,491,NA
2000,Kielce,Attempted,197,NA
2000,Kielce,Fatal,184,NA
2000,Kraków,Attempted,545,NA
2000,Kraków,Fatal,474,NA
2000,Lublin,Attempted,288,NA
2000,Lublin,Fatal,259,NA
2000,Łódź,Attempted,402,NA
2000,Łódź,Fatal,366,NA
2000,Olsztyn,Attempted,149,NA
2000,Olsztyn,Fatal,137,NA
2000,Opole,Attempted,176,NA
2000,Opole,Fatal,154,NA
2000,Poznań,Attempted,644,NA
2000,Poznań,Fatal,551,NA
2000,Radom,Attempted,439,NA
2000,Radom,Fatal,408,NA
2000,Rzeszów,Attempted,348,NA
2000,Rzeszów,Fatal,314,NA
2000,Szczecin,Attempted,305,NA
2000,Szczecin,Fatal,219,NA
2000,Warszawa,Attempted,104,NA
2000,Warszawa,Fatal,95,NA
2000,Wrocław,Attempted,431,NA
2000,Wrocław,Fatal,394,NA
2001,Białystok,Attempted,221,NA
2001,Białystok,Fatal,187,NA
2001,Bydgoszcz,Attempted,268,NA
2001,Bydgoszcz,Fatal,245,NA
2001,Gdańsk,Attempted,364,NA
2001,Gdańsk,Fatal,325,NA
2001,Gorzów Wlkp.,Attempted,246,NA
2001,Gorzów Wlkp.,Fatal,210,NA
2001,Katowice,Attempted,558,NA
2001,Katowice,Fatal,473,NA
2001,Kielce,Attempted,192,NA
2001,Kielce,Fatal,179,NA
2001,Kraków,Attempted,591,NA
2001,Kraków,Fatal,508,NA
2001,Lublin,Attempted,313,NA
2001,Lublin,Fatal,271,NA
2001,Łódź,Attempted,380,NA
2001,Łódź,Fatal,342,NA
2001,Olsztyn,Attempted,240,NA
2001,Olsztyn,Fatal,206,NA
2001,Opole,Attempted,152,NA
2001,Opole,Fatal,134,NA
2001,Poznań,Attempted,641,NA
2001,Poznań,Fatal,551,NA
2001,Radom,Attempted,464,NA
2001,Radom,Fatal,426,NA
2001,Rzeszów,Attempted,316,NA
2001,Rzeszów,Fatal,293,NA
2001,Szczecin,Attempted,301,NA
2001,Szczecin,Fatal,208,NA
2001,Warszawa,Attempted,93,NA
2001,Warszawa,Fatal,81,NA
2001,Wrocław,Attempted,372,NA
2001,Wrocław,Fatal,332,NA
2002,Białystok,Attempted,242,NA
2002,Białystok,Fatal,198,NA
2002,Bydgoszcz,Attempted,233,NA
2002,Bydgoszcz,Fatal,216,NA
2002,Gdańsk,Attempted,391,NA
2002,Gdańsk,Fatal,360,NA
2002,Gorzów Wlkp.,Attempted,243,NA
2002,Gorzów Wlkp.,Fatal,194,NA
2002,Katowice,Attempted,643,NA
2002,Katowice,Fatal,544,NA
2002,Kielce,Attempted,206,NA
2002,Kielce,Fatal,190,NA
2002,Kraków,Attempted,640,NA
2002,Kraków,Fatal,542,NA
2002,Lublin,Attempted,329,NA
2002,Lublin,Fatal,288,NA
2002,Łódź,Attempted,385,NA
2002,Łódź,Fatal,338,NA
2002,Olsztyn,Attempted,267,NA
2002,Olsztyn,Fatal,228,NA
2002,Opole,Attempted,157,NA
2002,Opole,Fatal,134,NA
2002,Poznań,Attempted,617,NA
2002,Poznań,Fatal,506,NA
2002,Radom,Attempted,393,NA
2002,Radom,Fatal,369,NA
2002,Rzeszów,Attempted,370,NA
2002,Rzeszów,Fatal,320,NA
2002,Szczecin,Attempted,311,NA
2002,Szczecin,Fatal,210,NA
2002,Warszawa,Attempted,129,NA
2002,Warszawa,Fatal,116,NA
2002,Wrocław,Attempted,372,NA
2002,Wrocław,Fatal,347,NA
2003,Białystok,Attempted,259,NA
2003,Białystok,Fatal,217,NA
2003,Bydgoszcz,Attempted,199,NA
2003,Bydgoszcz,Fatal,183,NA
2003,Gdańsk,Attempted,321,NA
2003,Gdańsk,Fatal,296,NA
2003,Gorzów Wlkp.,Attempted,180,NA
2003,Gorzów Wlkp.,Fatal,143,NA
2003,Katowice,Attempted,667,NA
2003,Katowice,Fatal,522,NA
2003,Kielce,Attempted,185,NA
2003,Kielce,Fatal,169,NA
2003,Kraków,Attempted,481,NA
2003,Kraków,Fatal,416,NA
2003,Lublin,Attempted,399,NA
2003,Lublin,Fatal,355,NA
2003,Łódź,Attempted,335,NA
2003,Łódź,Fatal,300,NA
2003,Olsztyn,Attempted,235,NA
2003,Olsztyn,Fatal,199,NA
2003,Opole,Attempted,159,NA
2003,Opole,Fatal,128,NA
2003,Poznań,Attempted,511,NA
2003,Poznań,Fatal,406,NA
2003,Radom,Attempted,336,NA
2003,Radom,Fatal,310,NA
2003,Rzeszów,Attempted,258,NA
2003,Rzeszów,Fatal,229,NA
2003,Szczecin,Attempted,331,NA
2003,Szczecin,Fatal,219,NA
2003,Warszawa,Attempted,191,NA
2003,Warszawa,Fatal,167,NA
2003,Wrocław,Attempted,420,NA
2003,Wrocław,Fatal,375,NA
2004,Białystok,Attempted,229,NA
2004,Białystok,Fatal,180,NA
2004,Bydgoszcz,Attempted,361,NA
2004,Bydgoszcz,Fatal,325,NA
2004,Gdańsk,Attempted,301,NA
2004,Gdańsk,Fatal,261,NA
2004,Gorzów Wlkp.,Attempted,211,NA
2004,Gorzów Wlkp.,Fatal,155,NA
2004,Katowice,Attempted,644,NA
2004,Katowice,Fatal,486,NA
2004,Kielce,Attempted,237,NA
2004,Kielce,Fatal,215,NA
2004,Kraków,Attempted,510,NA
2004,Kraków,Fatal,441,NA
2004,Lublin,Attempted,415,NA
2004,Lublin,Fatal,342,NA
2004,Łódź,Attempted,382,NA
2004,Łódź,Fatal,338,NA
2004,Olsztyn,Attempted,282,NA
2004,Olsztyn,Fatal,219,NA
2004,Opole,Attempted,182,NA
2004,Opole,Fatal,148,NA
2004,Poznań,Attempted,512,NA
2004,Poznań,Fatal,424,NA
2004,Radom,Attempted,336,NA
2004,Radom,Fatal,312,NA
2004,Rzeszów,Attempted,261,NA
2004,Rzeszów,Fatal,212,NA
2004,Szczecin,Attempted,288,NA
2004,Szczecin,Fatal,197,NA
2004,Warszawa,Attempted,292,NA
2004,Warszawa,Fatal,241,NA
2004,Wrocław,Attempted,450,NA
2004,Wrocław,Fatal,397,NA
2005,Białystok,Attempted,223,NA
2005,Białystok,Fatal,181,NA
2005,Bydgoszcz,Attempted,327,NA
2005,Bydgoszcz,Fatal,277,NA
2005,Gdańsk,Attempted,339,NA
2005,Gdańsk,Fatal,290,NA
2005,Gorzów Wlkp.,Attempted,191,NA
2005,Gorzów Wlkp.,Fatal,142,NA
2005,Katowice,Attempted,664,NA
2005,Katowice,Fatal,505,NA
2005,Kielce,Attempted,174,NA
2005,Kielce,Fatal,157,NA
2005,Kraków,Attempted,471,NA
2005,Kraków,Fatal,411,NA
2005,Lublin,Attempted,383,NA
2005,Lublin,Fatal,309,NA
2005,Łódź,Attempted,378,NA
2005,Łódź,Fatal,313,NA
2005,Olsztyn,Attempted,308,NA
2005,Olsztyn,Fatal,205,NA
2005,Opole,Attempted,163,NA
2005,Opole,Fatal,111,NA
2005,Poznań,Attempted,496,NA
2005,Poznań,Fatal,416,NA
2005,Radom,Attempted,364,NA
2005,Radom,Fatal,341,NA
2005,Rzeszów,Attempted,270,NA
2005,Rzeszów,Fatal,223,NA
2005,Szczecin,Attempted,272,NA
2005,Szczecin,Fatal,209,NA
2005,Warszawa,Attempted,264,NA
2005,Warszawa,Fatal,225,NA
2005,Wrocław,Attempted,338,NA
2005,Wrocław,Fatal,306,NA
2006,Białystok,Attempted,184,NA
2006,Białystok,Fatal,129,NA
2006,Bydgoszcz,Attempted,251,NA
2006,Bydgoszcz,Fatal,225,NA
2006,Gdańsk,Attempted,347,NA
2006,Gdańsk,Fatal,292,NA
2006,Gorzów Wlkp.,Attempted,223,NA
2006,Gorzów Wlkp.,Fatal,160,NA
2006,Katowice,Attempted,626,NA
2006,Katowice,Fatal,448,NA
2006,Kielce,Attempted,187,NA
2006,Kielce,Fatal,173,NA
2006,Kraków,Attempted,386,NA
2006,Kraków,Fatal,317,NA
2006,Lublin,Attempted,345,NA
2006,Lublin,Fatal,276,NA
2006,Łódź,Attempted,389,NA
2006,Łódź,Fatal,314,NA
2006,Olsztyn,Attempted,295,NA
2006,Olsztyn,Fatal,186,NA
2006,Opole,Attempted,181,NA
2006,Opole,Fatal,107,NA
2006,Poznań,Attempted,415,NA
2006,Poznań,Fatal,348,NA
2006,Radom,Attempted,312,NA
2006,Radom,Fatal,277,NA
2006,Rzeszów,Attempted,265,NA
2006,Rzeszów,Fatal,216,NA
2006,Szczecin,Attempted,234,NA
2006,Szczecin,Fatal,165,NA
2006,Warszawa,Attempted,192,NA
2006,Warszawa,Fatal,168,NA
2006,Wrocław,Attempted,320,NA
2006,Wrocław,Fatal,289,NA
2007,Białystok,Attempted,215,NA
2007,Białystok,Fatal,160,NA
2007,Bydgoszcz,Attempted,251,NA
2007,Bydgoszcz,Fatal,215,NA
2007,Gdańsk,Attempted,267,NA
2007,Gdańsk,Fatal,208,NA
2007,Gorzów Wlkp.,Attempted,190,NA
2007,Gorzów Wlkp.,Fatal,152,NA
2007,Katowice,Attempted,514,NA
2007,Katowice,Fatal,346,NA
2007,Kielce,Attempted,139,NA
2007,Kielce,Fatal,123,NA
2007,Kraków,Attempted,337,NA
2007,Kraków,Fatal,253,NA
2007,Lublin,Attempted,295,NA
2007,Lublin,Fatal,231,NA
2007,Łódź,Attempted,390,NA
2007,Łódź,Fatal,297,NA
2007,Olsztyn,Attempted,306,NA
2007,Olsztyn,Fatal,157,NA
2007,Opole,Attempted,148,NA
2007,Opole,Fatal,88,NA
2007,Poznań,Attempted,428,NA
2007,Poznań,Fatal,360,NA
2007,Radom,Attempted,301,NA
2007,Radom,Fatal,264,NA
2007,Rzeszów,Attempted,198,NA
2007,Rzeszów,Fatal,145,NA
2007,Szczecin,Attempted,221,NA
2007,Szczecin,Fatal,138,NA
2007,Warszawa,Attempted,176,NA
2007,Warszawa,Fatal,154,NA
2007,Wrocław,Attempted,282,NA
2007,Wrocław,Fatal,239,NA
2008,Białystok,Attempted,247,NA
2008,Białystok,Fatal,182,NA
2008,Bydgoszcz,Attempted,323,NA
2008,Bydgoszcz,Fatal,269,NA
2008,Gdańsk,Attempted,287,NA
2008,Gdańsk,Fatal,228,NA
2008,Gorzów Wlkp.,Attempted,201,NA
2008,Gorzów Wlkp.,Fatal,129,NA
2008,Katowice,Attempted,536,NA
2008,Katowice,Fatal,368,NA
2008,Kielce,Attempted,135,NA
2008,Kielce,Fatal,119,NA
2008,Kraków,Attempted,369,NA
2008,Kraków,Fatal,302,NA
2008,Lublin,Attempted,398,NA
2008,Lublin,Fatal,299,NA
2008,Łódź,Attempted,379,NA
2008,Łódź,Fatal,301,NA
2008,Olsztyn,Attempted,361,NA
2008,Olsztyn,Fatal,178,NA
2008,Opole,Attempted,157,NA
2008,Opole,Fatal,85,NA
2008,Poznań,Attempted,367,NA
2008,Poznań,Fatal,296,NA
2008,Radom,Attempted,487,NA
2008,Radom,Fatal,435,NA
2008,Rzeszów,Attempted,239,NA
2008,Rzeszów,Fatal,162,NA
2008,Szczecin,Attempted,226,NA
2008,Szczecin,Fatal,152,NA
2008,Warszawa,Attempted,214,NA
2008,Warszawa,Fatal,187,NA
2008,Wrocław,Attempted,311,NA
2008,Wrocław,Fatal,272,NA
2009,Białystok,Attempted,251,NA
2009,Białystok,Fatal,173,NA
2009,Bydgoszcz,Attempted,333,NA
2009,Bydgoszcz,Fatal,276,NA
2009,Gdańsk,Attempted,341,NA
2009,Gdańsk,Fatal,260,NA
2009,Gorzów Wlkp.,Attempted,285,NA
2009,Gorzów Wlkp.,Fatal,170,NA
2009,Katowice,Attempted,712,NA
2009,Katowice,Fatal,468,NA
2009,Kielce,Attempted,155,NA
2009,Kielce,Fatal,127,NA
2009,Kraków,Attempted,463,NA
2009,Kraków,Fatal,363,NA
2009,Lublin,Attempted,390,NA
2009,Lublin,Fatal,309,NA
2009,Łódź,Attempted,471,NA
2009,Łódź,Fatal,369,NA
2009,Olsztyn,Attempted,395,NA
2009,Olsztyn,Fatal,188,NA
2009,Opole,Attempted,185,NA
2009,Opole,Fatal,116,NA
2009,Poznań,Attempted,451,NA
2009,Poznań,Fatal,380,NA
2009,Radom,Attempted,452,NA
2009,Radom,Fatal,385,NA
2009,Rzeszów,Attempted,242,NA
2009,Rzeszów,Fatal,176,NA
2009,Szczecin,Attempted,238,NA
2009,Szczecin,Fatal,168,NA
2009,Warszawa,Attempted,254,NA
2009,Warszawa,Fatal,208,NA
2009,Wrocław,Attempted,295,NA
2009,Wrocław,Fatal,248,NA
2010,Białystok,Attempted,234,NA
2010,Białystok,Fatal,168,NA
2010,Bydgoszcz,Attempted,291,NA
2010,Bydgoszcz,Fatal,252,NA
2010,Gdańsk,Attempted,268,NA
2010,Gdańsk,Fatal,207,NA
2010,Gorzów Wlkp.,Attempted,183,NA
2010,Gorzów Wlkp.,Fatal,129,NA
2010,Katowice,Attempted,698,NA
2010,Katowice,Fatal,468,NA
2010,Kielce,Attempted,208,NA
2010,Kielce,Fatal,184,NA
2010,Kraków,Attempted,467,NA
2010,Kraków,Fatal,349,NA
2010,Lublin,Attempted,359,NA
2010,Lublin,Fatal,285,NA
